plan_id,crop_id,crop_name,modified_by,ABND_act,CMPL_act,PLAN_act,UNPL_act,DEFR_act,user_name,company_id
1625,351,CABBAGE (BM1),1,19,22,0,3,0,Sreekala,1000
1626,357,BITTERGOURD (BM1),1,101,0,0,5,0,Sreekala,1000
1627,353,BRINJAL (BM1),1,60,0,0,4,0,Sreekala,1000
1629,352,CAULIFLOWER (BM1),1,44,0,0,4,0,Sreekala,1000
1630,355,CUCUMBER (BM1),1,66,0,0,4,0,Sreekala,1000
1631,354,GREEN CHILLI (BM1),1,91,0,0,4,0,Sreekala,1000
1632,356,RIDGE GOURD (BM1),1,80,0,0,4,0,Sreekala,1000
1753,163,TOMATO,1,0,0,112,3,0,Sreekala,1000
1855,107,Pomegranate,1,0,8,24,19,0,Sreekala,1000
1859,107,Pomegranate,1,0,0,74,0,0,Sreekala,1000
2462,177,GINGER,1,0,1,79,4,1,Sreekala,1000
2463,2,MAIZE,1,0,0,39,0,0,Sreekala,1000
2470,128,CAULIFLOWER,1,59,0,0,4,0,Sreekala,1000
2471,199,POTATO,1,0,31,3,16,0,Sreekala,1000
2536,828,FENUGREEK (RA),1,30,0,0,4,0,Sreekala,1000
2735,894,DESI TINDA  (Del/Nwl-Sum),1,0,0,70,5,0,Sreekala,1000
2736,892,CHILLI - GREEN (Del/Nwl-Sum),1,0,0,235,4,0,Sreekala,1000
2737,889,PUMPKIN - GREEN  (Del/Nwl-Sum),1,0,0,103,5,0,Sreekala,1000
2750,885,BITTERGOURD (Del/Nwl-Sum),1,0,0,125,4,0,Sreekala,1000
2751,884,BOTTLEGOURD (Del/Nwl-Sum),1,0,0,121,5,0,Sreekala,1000
2752,874,TOMATO OVAL (Del/Nwl-Win),1,0,0,127,4,0,Sreekala,1000
2793,67,BANANA,1,0,6,166,1,0,Sreekala,1000
3154,208,BIG ONION,1,0,12,32,3,0,Sreekala,1000
3788,120,BOTTLEGOURD,1,0,0,94,3,0,Sreekala,1000
14,805,BEETROOT (RA),2,0,2,39,15,0,Chaitra,1000
36,809,BABY CORN (RA),2,0,9,13,12,0,Chaitra,1000
120,801,TOMATO HYBRID (RA),2,0,10,62,25,0,Chaitra,1000
414,803,LADY FINGER (RA),2,0,1,83,20,0,Chaitra,1000
450,806,BITTERGOURD (RA),2,0,0,90,18,0,Chaitra,1000
451,841,TOMATO ROUND DESI (RA),2,0,0,95,25,0,Chaitra,1000
825,804,CLUSTER BEAN (RA),2,0,0,90,4,0,Chaitra,1000
891,67,BANANA,2,1,18,181,25,0,Chaitra,1000
893,163,TOMATO,2,4,18,100,16,0,Chaitra,1000
895,107,Pomegranate,2,0,0,56,41,0,Chaitra,1000
917,301,BANANA (G9),2,1,7,65,5,0,Chaitra,1000
927,301,BANANA (G9),2,0,5,69,5,0,Chaitra,1000
974,305,BANANA (Njalipoovan),2,1,16,38,5,0,Chaitra,1000
982,118,BHENDI,2,0,0,112,13,0,Chaitra,1000
1059,24,BLACK GRAM,2,0,0,19,11,1,Chaitra,1000
1297,849,PEARL MILLET (RA),2,0,0,52,4,0,Chaitra,1000
1298,850,MORINGA - POD  (RA),2,0,8,122,2,0,Chaitra,1000
1300,850,MORINGA - POD  (RA),2,0,14,68,1,0,Chaitra,1000
1304,847,GREEN GRAM (RA),2,0,0,50,4,0,Chaitra,1000
1305,848,GROUNDNUT (RA),2,0,0,74,4,0,Chaitra,1000
1339,851,RIDGE GOURD (RA),2,0,1,95,5,0,Chaitra,1000
1374,844,COWPEA (BUSH) (RA),2,0,0,65,4,0,Chaitra,1000
1376,843,FLAT BEAN (RA),2,0,0,91,5,0,Chaitra,1000
1377,845,RAJMAH (RA),2,0,0,60,4,0,Chaitra,1000
1378,852,COWPEA (POLE) (RA),2,0,0,84,4,0,Chaitra,1000
1380,846,BLACK GRAM (RA),2,0,1,51,3,0,Chaitra,1000
1381,163,TOMATO,2,2,13,56,11,0,Chaitra,1000
1382,125,CABBAGE,2,3,22,18,16,0,Chaitra,1000
1502,24,BLACK GRAM,2,0,0,21,18,0,Chaitra,1000
1567,854,BEETROOT (Del/Nwl-Sum),2,0,0,84,4,0,Chaitra,1000
1568,853,RADISH (Asiatic) (Del/Nwl/Pun-Win),2,0,0,54,4,0,Chaitra,1000
1569,855,BEETROOT (Del/Nwl-Win),2,0,0,99,4,0,Chaitra,1000
1570,857,FENUGREEK (Del/Nwl-Win),2,0,0,43,4,0,Chaitra,1000
1571,859,SPINACH (Del/Nwl-Sum/Win),2,0,0,40,4,0,Chaitra,1000
1572,860,CAULIFLOWER (Del/Nwl-Win),2,0,0,103,4,0,Chaitra,1000
1573,861,POTATO (Del-Win),2,0,0,71,4,0,Chaitra,1000
1574,862,CORN SWEET (Del/Nwl-Sum),2,0,0,42,4,0,Chaitra,1000
1575,863,CORN SWEET (Del/Nwl-Win),2,0,0,58,4,0,Chaitra,1000
1576,856,CARROT - RED (Del/Nwl-Win),2,0,0,99,4,0,Chaitra,1000
1577,858,CORIANDER – Leaf (Del/Nwl-Sum/Win),2,0,0,37,3,0,Chaitra,1000
1603,851,RIDGE GOURD (RA),2,0,0,96,5,0,Chaitra,1000
1638,864,BRINJAL (Del/Nwl-Sum/Win),2,0,0,145,4,0,Chaitra,1000
1639,865,BROCCOLI (Del/Nwl-Win),2,0,0,73,4,0,Chaitra,1000
1640,866,CARROT - BLACK (Del/Nwl-Win),2,0,0,97,4,0,Chaitra,1000
1641,867,MUSTARD LEAF (Del/Nwl-Win),2,0,0,39,4,0,Chaitra,1000
1643,869,PEAS GREEN (Del/Nwl-Win),2,0,0,72,4,0,Chaitra,1000
1644,870,CABBAGE (Del/Nwl-Win),2,0,0,105,4,0,Chaitra,1000
1645,871,SPRING ONION (Del/Nwl-Sum/Win),2,0,0,52,4,0,Chaitra,1000
1646,868,ONION - RED (Del/Nwl-Sum/Win),2,0,0,75,4,0,Chaitra,1000
1663,189,COFFEE – Arabica,2,0,10,11,15,0,Chaitra,1000
1665,189,COFFEE – Arabica,2,0,8,11,18,0,Chaitra,1000
1668,189,COFFEE – Arabica,2,0,0,25,30,0,Chaitra,1000
1669,142,COFFEE – Robusta,2,0,8,10,28,0,Chaitra,1000
1671,142,COFFEE – Robusta,2,0,0,22,33,0,Chaitra,1000
1681,180,BLACK PEPPER,2,3,12,2,20,0,Chaitra,1000
1683,184,ARECANUT - Chali/Kottapak,2,6,8,4,15,0,Chaitra,1000
1685,142,COFFEE – Robusta,2,1,13,7,18,0,Chaitra,1000
1686,189,COFFEE – Arabica,2,0,14,8,18,0,Chaitra,1000
1687,142,COFFEE – Robusta,2,0,12,6,17,0,Chaitra,1000
1688,189,COFFEE – Arabica,2,2,12,6,16,0,Chaitra,1000
1689,189,COFFEE – Arabica,2,8,23,0,22,0,Chaitra,1000
1690,142,COFFEE – Robusta,2,8,22,0,23,0,Chaitra,1000
1749,180,BLACK PEPPER,2,0,17,5,12,0,Chaitra,1000
24,804,CLUSTER BEAN (RA),3,0,0,40,17,0,Thilaga,1000
25,802,AMARANTHUS GRN/RED (RA),3,1,15,0,0,0,Thilaga,1000
28,810,SPINACH (RA),3,16,14,0,12,0,Thilaga,1000
30,807,BOTTLEGOURD (RA),3,49,31,0,14,0,Thilaga,1000
31,808,CORN SWEET (RA),3,4,12,0,18,0,Thilaga,1000
45,812,CAULIFLOWER (RA),3,41,25,0,0,0,Thilaga,1000
46,813,BEANS - FRENCH (Pole Type) (RA),3,40,4,0,15,0,Thilaga,1000
48,814,BEANS - FRENCH (Bush Type) (RA),3,38,5,0,15,0,Thilaga,1000
49,815,CARROT - RED (RA),3,40,17,0,0,0,Thilaga,1000
52,816,CARROT - ORANGE (RA),3,40,14,0,15,0,Thilaga,1000
53,817,CHILLI - GREEN,3,77,25,0,27,0,Thilaga,1000
54,818,ONION - RED (RA),3,34,0,0,22,0,Thilaga,1000
55,819,POTATO (RA),3,25,12,0,19,0,Thilaga,1000
56,820,BRINJAL (RA),3,50,29,0,21,0,Thilaga,1000
57,821,SMALL ONION (RA),3,24,10,0,12,0,Thilaga,1000
160,810,SPINACH (RA),3,1,3,22,7,0,Thilaga,1000
161,805,BEETROOT (RA),3,0,3,44,9,0,Thilaga,1000
163,812,CAULIFLOWER (RA),3,0,19,74,18,0,Thilaga,1000
178,824,CORIANDER – Leaf (RA),3,21,3,0,3,0,Thilaga,1000
179,824,CORIANDER – Leaf (RA),3,0,11,13,3,0,Thilaga,1000
229,809,BABY CORN (RA),3,15,30,0,0,0,Thilaga,1000
232,828,FENUGREEK (RA),3,29,4,0,8,0,Thilaga,1000
235,838,CARROT - BLACK (RA),3,72,4,0,14,0,Thilaga,1000
237,832,BROCCOLI (RA),3,79,4,0,23,0,Thilaga,1000
241,833,KNOL KHOL (RA),3,36,6,0,16,0,Thilaga,1000
277,827,MUSTARD LEAF (RA),3,13,25,0,6,0,Thilaga,1000
278,826,SPRING ONION (RA),3,4,48,0,9,0,Thilaga,1000
289,822,PEAS GREEN (RA),3,44,41,0,10,0,Thilaga,1000
292,152,ONION,3,36,0,0,10,0,Thilaga,1000
293,67,BANANA,3,154,16,0,22,0,Thilaga,1000
299,133,GREEN CHILLI,3,141,11,0,21,0,Thilaga,1000
300,5,SORGHUM,3,19,1,0,17,0,Thilaga,1000
301,163,TOMATO,3,67,7,0,19,0,Thilaga,1000
302,133,GREEN CHILLI,3,111,42,0,20,0,Thilaga,1000
356,829,SWEET POTATO (RA),3,50,0,0,20,0,Thilaga,1000
378,811,CABBAGE (RA),3,67,11,0,18,0,Thilaga,1000
395,163,TOMATO,3,111,0,0,17,0,Thilaga,1000
413,819,POTATO (RA),3,0,0,64,22,0,Thilaga,1000
430,824,CORIANDER – Leaf (RA),3,0,0,23,4,0,Thilaga,1000
439,832,BROCCOLI (RA),3,0,0,49,19,0,Thilaga,1000
440,833,KNOL KHOL (RA),3,0,0,41,19,0,Thilaga,1000
442,836,TURNIP (European) (RA),3,34,0,0,11,0,Thilaga,1000
443,802,AMARANTHUS GRN/RED (RA),3,19,0,0,2,0,Thilaga,1000
444,810,SPINACH (RA),3,29,0,0,8,0,Thilaga,1000
449,809,BABY CORN (RA),3,29,0,0,16,0,Thilaga,1000
456,817,CHILLI - GREEN,3,133,0,0,33,0,Thilaga,1000
509,801,TOMATO HYBRID (RA),3,106,0,0,25,0,Thilaga,1000
583,301,BANANA (G9),3,100,12,0,5,0,Thilaga,1000
624,303,BANANA (Red),3,86,14,0,3,0,Thilaga,1000
629,302,BANANA (Nendran),3,94,13,0,5,0,Thilaga,1000
631,304,BANANA (Ney Poovan),3,30,14,0,5,0,Thilaga,1000
632,302,BANANA (Nendran),3,63,14,0,5,0,Thilaga,1000
633,303,BANANA (Red),3,77,14,0,3,0,Thilaga,1000
634,304,BANANA (Ney Poovan),3,67,14,0,6,0,Thilaga,1000
812,839,DESI TINDA (RA),3,90,0,0,5,0,Thilaga,1000
814,803,LADY FINGER (RA),3,101,0,0,4,0,Thilaga,1000
816,835,PUMPKIN - GREEN (RA),3,86,0,0,5,0,Thilaga,1000
817,815,CARROT - RED (RA),3,0,0,78,16,0,Thilaga,1000
818,825,CUCUMBER HYBRID (RA),3,0,0,89,5,0,Thilaga,1000
819,834,RADISH (Asiatic) (RA),3,0,0,41,9,0,Thilaga,1000
820,842,SPONGE GOURD (RA),3,0,0,272,5,0,Thilaga,1000
821,831,WATERMELON (RA),3,0,0,72,5,0,Thilaga,1000
824,830,MUSKMELON (RA),3,84,0,0,5,0,Thilaga,1000
826,816,CARROT - ORANGE (RA),3,79,0,0,16,0,Thilaga,1000
827,838,CARROT - BLACK (RA),3,74,0,0,16,0,Thilaga,1000
828,807,BOTTLEGOURD (RA),3,102,0,0,5,0,Thilaga,1000
863,802,AMARANTHUS GRN/RED (RA),3,8,12,0,2,0,Thilaga,1000
864,802,AMARANTHUS GRN/RED (RA),3,5,15,0,2,0,Thilaga,1000
980,301,BANANA (G9),3,42,13,0,6,0,Thilaga,1000
1051,802,AMARANTHUS GRN/RED (RA),3,5,14,0,3,0,Thilaga,1000
1053,808,CORN SWEET (RA),3,31,10,0,4,0,Thilaga,1000
1054,801,TOMATO HYBRID (RA),3,56,26,0,4,0,Thilaga,1000
1422,351,CABBAGE (BM1),3,80,0,0,12,0,Thilaga,1000
1424,353,BRINJAL (BM1),3,152,0,0,13,0,Thilaga,1000
1425,354,GREEN CHILLI (BM1),3,173,2,0,14,0,Thilaga,1000
1553,855,BEETROOT (Del/Nwl-Win),3,0,0,78,4,0,Thilaga,1000
1554,856,CARROT - RED (Del/Nwl-Win),3,0,0,77,4,0,Thilaga,1000
1555,857,FENUGREEK (Del/Nwl-Win),3,0,0,44,4,0,Thilaga,1000
1556,858,CORIANDER – Leaf (Del/Nwl-Sum/Win),3,0,0,39,3,0,Thilaga,1000
1557,859,SPINACH (Del/Nwl-Sum/Win),3,0,0,41,4,0,Thilaga,1000
1558,860,CAULIFLOWER (Del/Nwl-Win),3,0,0,82,4,0,Thilaga,1000
1559,861,POTATO (Del-Win),3,0,0,60,4,0,Thilaga,1000
1560,862,CORN SWEET (Del/Nwl-Sum),3,0,0,44,4,0,Thilaga,1000
1561,863,CORN SWEET (Del/Nwl-Win),3,0,0,58,4,0,Thilaga,1000
1562,853,RADISH (Asiatic) (Del/Nwl/Pun-Win),3,0,0,44,4,0,Thilaga,1000
1563,805,BEETROOT (RA),3,0,0,56,4,0,Thilaga,1000
1564,806,BITTERGOURD (RA),3,0,0,124,4,0,Thilaga,1000
1565,837,CABBAGE - RED (RA),3,0,0,83,4,0,Thilaga,1000
1599,854,BEETROOT (Del/Nwl-Sum),3,0,0,73,4,0,Thilaga,1000
1649,189,COFFEE – Arabica,3,11,8,0,28,0,Thilaga,1000
1655,189,COFFEE – Arabica,3,21,9,0,25,0,Thilaga,1000
1672,811,CABBAGE (RA),3,0,0,54,4,0,Thilaga,1000
1674,184,ARECANUT - Chali/Kottapak,3,14,11,0,8,0,Thilaga,1000
1675,180,BLACK PEPPER,3,8,14,0,15,0,Thilaga,1000
1677,142,COFFEE – Robusta,3,6,11,2,16,0,Thilaga,1000
1678,189,COFFEE – Arabica,3,7,9,4,14,0,Thilaga,1000
1679,142,COFFEE – Robusta,3,3,15,3,18,0,Thilaga,1000
1680,189,COFFEE – Arabica,3,3,15,4,18,0,Thilaga,1000
1691,189,COFFEE – Arabica,3,12,20,0,23,0,Thilaga,1000
1692,142,COFFEE – Robusta,3,6,28,0,21,0,Thilaga,1000
1693,142,COFFEE – Robusta,3,5,12,5,33,0,Thilaga,1000
1694,189,COFFEE – Arabica,3,9,11,4,28,0,Thilaga,1000
1793,117,BEETROOT,3,0,17,16,3,0,Thilaga,1000
1823,872,SWEET POTATO ( (Del/Nwl-Win)),3,80,0,0,4,0,Thilaga,1000
1824,873,TOMATO OVAL (Del/Nwl-Sum),3,113,0,0,4,0,Thilaga,1000
1825,874,TOMATO OVAL (Del/Nwl-Win),3,140,0,0,4,0,Thilaga,1000
1826,875,TOMATO ROUND DESI (Del/Nwl-Sum),3,114,0,0,4,0,Thilaga,1000
1827,876,TOMATO ROUND DESI (Del/Nwl-Win),3,140,0,0,4,0,Thilaga,1000
1828,877,TURNIP (Asiatic) (Nwl-Win),3,50,0,0,4,0,Thilaga,1000
1829,878,TURNIP (European) (Nwl-Win),3,51,0,0,4,0,Thilaga,1000
1830,879,KNOL KHOL (Del/Nwl-Win),3,72,0,0,4,0,Thilaga,1000
1831,880,BABY CORN (Del/Nwl-Sum),3,41,0,0,4,0,Thilaga,1000
1832,881,BABY CORN (Del/Nwl-Win),3,59,0,0,4,0,Thilaga,1000
1858,829,SWEET POTATO (RA),3,64,0,0,4,0,Thilaga,1000
1862,107,Pomegranate,3,11,25,0,18,0,Thilaga,1000
1863,107,Pomegranate,3,19,68,0,11,0,Thilaga,1000
1870,107,Pomegranate,3,34,0,0,41,0,Thilaga,1000
2055,133,GREEN CHILLI,3,164,1,0,4,0,Thilaga,1000
2066,360,BOTTLEGOURD (BM1),3,102,0,0,3,0,Thilaga,1000
2067,362,FRENCH BEAN (Bush Type) (BM1),3,60,0,0,4,0,Thilaga,1000
2069,361,FRENCH BEAN (Pole Type) (BM1),3,61,0,0,4,0,Thilaga,1000
2070,120,BOTTLEGOURD,3,87,0,0,3,0,Thilaga,1000
2345,125,CABBAGE,3,2,3,49,4,1,Thilaga,1000
2346,121,BRINJAL,3,0,1,67,4,0,Thilaga,1000
2348,140,CUCUMBER,3,0,0,67,3,0,Thilaga,1000
2349,163,TOMATO,3,0,0,88,4,0,Thilaga,1000
2350,2,MAIZE,3,18,0,0,16,0,Thilaga,1000
2351,801,TOMATO HYBRID (RA),3,0,0,110,4,0,Thilaga,1000
2352,803,LADY FINGER (RA),3,0,0,78,4,0,Thilaga,1000
2353,811,CABBAGE (RA),3,0,0,63,4,0,Thilaga,1000
2354,820,BRINJAL (RA),3,0,0,95,4,0,Thilaga,1000
2355,825,CUCUMBER HYBRID (RA),3,0,0,73,5,0,Thilaga,1000
2494,107,Pomegranate,3,0,10,145,35,0,Thilaga,1000
2502,886,CUCUMBER HYBRID (Del/Nwl - Sum),3,0,0,86,5,0,Thilaga,1000
2503,890,SPONGE GOURD (Del/Nwl - Sum),3,0,0,216,5,0,Thilaga,1000
2511,98,PAPAYA,3,486,0,0,46,0,Thilaga,1000
2537,817,CHILLI - GREEN,3,0,0,135,4,0,Thilaga,1000
2538,842,SPONGE GOURD (RA),3,0,0,247,5,0,Thilaga,1000
2556,363,GHERKIN (BM1),3,122,0,0,0,1,Thilaga,1000
2573,817,CHILLI - GREEN,3,0,0,133,4,0,Thilaga,1000
2574,828,FENUGREEK (RA),3,0,0,29,4,0,Thilaga,1000
2575,842,SPONGE GOURD (RA),3,0,0,246,5,0,Thilaga,1000
2594,121,BRINJAL,3,0,0,66,4,0,Thilaga,1000
2732,891,CLUSTER BEAN (Nwl-Sum),3,0,0,87,0,0,Thilaga,1000
2743,888,WATERMELON  (Del/Nwl-Sum),3,0,0,77,5,0,Thilaga,1000
2747,887,MUSKMELON  (Del/Nwl-Sum),3,0,0,69,5,0,Thilaga,1000
2749,883,LADY FINGER (Nwl-Sum),3,0,0,154,4,0,Thilaga,1000
2753,888,WATERMELON  (Del/Nwl-Sum),3,0,0,73,5,0,Thilaga,1000
2754,887,MUSKMELON  (Del/Nwl-Sum),3,0,0,65,5,0,Thilaga,1000
3024,57,SUGARCANE - Eksali,3,100,6,0,3,0,Thilaga,1000
3025,209,SUGARCANE - Early,3,82,0,0,3,0,Thilaga,1000
3026,219,SUGARCANE - Pre-seasonal,3,73,35,0,1,0,Thilaga,1000
3027,220,SUGARCANE - Adsali,3,122,0,0,4,0,Thilaga,1000
3240,156,RADISH (Asiatic),3,0,0,25,5,0,Thilaga,1000
3485,118,BHENDI,3,0,0,59,3,0,Thilaga,1000
3679,364,TURMERIC (BM1),3,92,0,0,0,0,Thilaga,1000
3682,364,TURMERIC (BM1),3,200,0,0,2,0,Thilaga,1000
3757,107,Pomegranate,3,0,0,147,37,0,Thilaga,1000
3759,107,Pomegranate,3,0,0,169,33,0,Thilaga,1000
3760,107,Pomegranate,3,0,10,143,36,0,Thilaga,1000
3903,898,SOYBEAN (RA),3,0,0,38,3,0,Thilaga,1000
3922,899,GINGER (RA),3,0,0,73,7,0,Thilaga,1000
38,818,ONION - RED (RA),4,0,0,34,22,0,Aishwarya,1000
39,820,BRINJAL (RA),4,0,18,61,23,0,Aishwarya,1000
40,819,POTATO (RA),4,0,11,39,22,0,Aishwarya,1000
42,821,SMALL ONION (RA),4,0,12,24,12,0,Aishwarya,1000
43,817,CHILLI - GREEN,4,0,35,81,30,0,Aishwarya,1000
51,816,CARROT - ORANGE (RA),4,0,0,53,16,0,Aishwarya,1000
80,811,CABBAGE (RA),5,31,0,0,13,0,Deepak Thakur,2000
81,805,BEETROOT (RA),5,31,0,0,15,0,Deepak Thakur,2000
82,815,CARROT - RED (RA),5,44,0,0,16,0,Deepak Thakur,2000
91,805,BEETROOT (RA),5,10,22,0,14,0,Deepak Thakur,2000
125,805,BEETROOT (RA),5,30,0,0,10,0,Deepak Thakur,2000
131,810,SPINACH (RA),5,9,20,0,13,0,Deepak Thakur,2000
134,805,BEETROOT (RA),5,29,2,0,9,0,Deepak Thakur,2000
135,816,CARROT - ORANGE (RA),5,53,0,0,15,0,Deepak Thakur,2000
169,811,CABBAGE (RA),5,33,30,0,6,0,Deepak Thakur,2000
173,819,POTATO (RA),5,40,8,0,16,0,Deepak Thakur,2000
193,812,CAULIFLOWER (RA),5,32,53,0,16,0,Deepak Thakur,2000
194,815,CARROT - RED (RA),5,38,36,0,11,0,Deepak Thakur,2000
242,811,CABBAGE (RA),5,32,34,0,15,0,Deepak Thakur,2000
243,805,BEETROOT (RA),5,18,38,0,10,0,Deepak Thakur,2000
244,810,SPINACH (RA),5,3,26,0,3,0,Deepak Thakur,2000
245,811,CABBAGE (RA),5,22,42,0,18,0,Deepak Thakur,2000
246,819,POTATO (RA),5,17,39,0,18,0,Deepak Thakur,2000
247,819,POTATO (RA),5,26,30,0,18,0,Deepak Thakur,2000
249,811,CABBAGE (RA),5,21,48,0,12,0,Deepak Thakur,2000
250,810,SPINACH (RA),5,2,27,0,3,0,Deepak Thakur,2000
252,819,POTATO (RA),5,46,3,0,16,0,Deepak Thakur,2000
253,819,POTATO (RA),5,18,31,0,15,0,Deepak Thakur,2000
258,811,CABBAGE (RA),5,23,42,0,15,0,Deepak Thakur,2000
259,819,POTATO (RA),5,21,35,0,17,0,Deepak Thakur,2000
260,819,POTATO (RA),5,11,46,0,8,0,Deepak Thakur,2000
270,819,POTATO (RA),5,21,29,0,15,0,Deepak Thakur,2000
316,812,CAULIFLOWER (RA),5,23,64,0,13,0,Deepak Thakur,2000
346,805,BEETROOT (RA),5,7,45,0,0,0,Deepak Thakur,2000
366,819,POTATO (RA),5,9,48,0,7,0,Deepak Thakur,2000
367,811,CABBAGE (RA),5,14,61,0,6,0,Deepak Thakur,2000
369,812,CAULIFLOWER (RA),5,63,18,0,20,0,Deepak Thakur,2000
370,819,POTATO (RA),5,24,33,0,7,0,Deepak Thakur,2000
371,801,TOMATO HYBRID (RA),5,51,44,0,22,0,Deepak Thakur,2000
372,801,TOMATO HYBRID (RA),5,60,40,0,17,0,Deepak Thakur,2000
374,801,TOMATO HYBRID (RA),5,47,53,0,17,0,Deepak Thakur,2000
391,801,TOMATO HYBRID (RA),5,52,64,0,10,0,Deepak Thakur,2000
471,810,SPINACH (RA),5,9,16,0,8,0,Deepak Thakur,2000
498,810,SPINACH (RA),5,11,18,0,8,0,Deepak Thakur,2000
528,808,CORN SWEET (RA),5,16,18,0,15,0,Deepak Thakur,2000
533,825,CUCUMBER HYBRID (RA),5,78,0,0,15,0,Deepak Thakur,2000
539,826,SPRING ONION (RA),5,43,0,0,12,0,Deepak Thakur,2000
544,824,CORIANDER – Leaf (RA),5,8,15,0,4,0,Deepak Thakur,2000
545,824,CORIANDER – Leaf (RA),5,8,14,0,4,0,Deepak Thakur,2000
566,825,CUCUMBER HYBRID (RA),5,34,36,0,15,0,Deepak Thakur,2000
567,842,SPONGE GOURD (RA),5,121,69,0,47,0,Deepak Thakur,2000
568,826,SPRING ONION (RA),5,12,19,0,10,0,Deepak Thakur,2000
573,807,BOTTLEGOURD (RA),5,92,2,0,16,0,Deepak Thakur,2000
574,842,SPONGE GOURD (RA),5,188,2,0,47,0,Deepak Thakur,2000
585,806,BITTERGOURD (RA),5,28,64,0,18,0,Deepak Thakur,2000
586,824,CORIANDER – Leaf (RA),5,4,19,0,4,0,Deepak Thakur,2000
587,842,SPONGE GOURD (RA),5,113,77,0,47,0,Deepak Thakur,2000
606,825,CUCUMBER HYBRID (RA),5,36,36,0,15,0,Deepak Thakur,2000
614,842,SPONGE GOURD (RA),5,55,135,0,47,0,Deepak Thakur,2000
620,825,CUCUMBER HYBRID (RA),5,31,40,0,15,0,Deepak Thakur,2000
774,824,CORIANDER – Leaf (RA),5,6,16,0,4,0,Deepak Thakur,2000
779,842,SPONGE GOURD (RA),5,159,39,0,42,0,Deepak Thakur,2000
787,807,BOTTLEGOURD (RA),5,58,32,0,15,0,Deepak Thakur,2000
788,835,PUMPKIN - GREEN (RA),5,27,45,0,18,0,Deepak Thakur,2000
789,841,TOMATO ROUND DESI (RA),5,29,52,0,19,0,Deepak Thakur,2000
790,835,PUMPKIN - GREEN (RA),5,40,33,0,18,0,Deepak Thakur,2000
795,824,CORIANDER – Leaf (RA),5,10,12,0,4,0,Deepak Thakur,2000
801,824,CORIANDER – Leaf (RA),5,8,14,0,4,0,Deepak Thakur,2000
802,835,PUMPKIN - GREEN (RA),5,42,28,0,18,0,Deepak Thakur,2000
803,807,BOTTLEGOURD (RA),5,66,23,0,16,0,Deepak Thakur,2000
804,807,BOTTLEGOURD (RA),5,53,47,0,5,0,Deepak Thakur,2000
807,808,CORN SWEET (RA),5,15,20,0,15,0,Deepak Thakur,2000
809,810,SPINACH (RA),5,15,14,0,8,0,Deepak Thakur,2000
842,824,CORIANDER – Leaf (RA),5,7,14,0,4,0,Deepak Thakur,2000
846,824,CORIANDER – Leaf (RA),5,11,11,0,4,0,Deepak Thakur,2000
847,810,SPINACH (RA),5,14,15,0,8,0,Deepak Thakur,2000
881,807,BOTTLEGOURD (RA),5,37,64,0,5,0,Deepak Thakur,2000
959,807,BOTTLEGOURD (RA),5,41,59,0,5,0,Deepak Thakur,2000
1097,810,SPINACH (RA),5,34,0,0,4,0,Deepak Thakur,2000
1121,810,SPINACH (RA),5,12,16,0,4,0,Deepak Thakur,2000
1122,810,SPINACH (RA),5,14,15,0,4,0,Deepak Thakur,2000
